packet,page_key,boundary_label,timestamp_utc,mode,main_states_or_error,ref_states_or_error,classification
01,dse~DataUSAConstructionWageSep18Live,before save:dse~DataUSAConstructionWageSep18Live@1,2026-06-19T12:40:33.999999+00:00,nominal,"[('unknown', None)]","[('unknown', None)]",MATCH
01,dse~DataUSAConstructionWageSep18Live,at/after save:dse~DataUSAConstructionWageSep18Live@1,2026-06-19T12:40:34+00:00,nominal,"[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@1')]","[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@1')]",MATCH
01,dse~DataUSAConstructionWageSep18Live,before save:dse~DataUSAConstructionWageSep18Live@2,2026-06-19T12:47:07.999999+00:00,nominal,"[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@1')]","[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@1')]",MATCH
01,dse~DataUSAConstructionWageSep18Live,at/after save:dse~DataUSAConstructionWageSep18Live@2,2026-06-19T12:47:08+00:00,nominal,"[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@2')]","[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@2')]",MATCH
01,dse~DataUSAConstructionWageSep18Live,before save:dse~DataUSAConstructionWageSep18Live@3,2026-06-19T12:55:47.999999+00:00,nominal,"[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@2')]","[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@2')]",MATCH
01,dse~DataUSAConstructionWageSep18Live,at/after save:dse~DataUSAConstructionWageSep18Live@3,2026-06-19T12:55:48+00:00,nominal,"[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@3')]","[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@3')]",MATCH
01,dse~DataUSAConstructionWageSep18Live,before save:dse~DataUSAConstructionWageSep18Live@4,2026-06-19T12:59:08.999999+00:00,nominal,"[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@3')]","[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@3')]",MATCH
01,dse~DataUSAConstructionWageSep18Live,at/after save:dse~DataUSAConstructionWageSep18Live@4,2026-06-19T12:59:09+00:00,nominal,"[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@4')]","[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@4')]",MATCH
01,dse~DataUSAConstructionWageSep18Live,before save:dse~DataUSAConstructionWageSep18Live@5,2026-06-19T13:02:25.999999+00:00,nominal,"[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@4')]","[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@4')]",MATCH
01,dse~DataUSAConstructionWageSep18Live,at/after save:dse~DataUSAConstructionWageSep18Live@5,2026-06-19T13:02:26+00:00,nominal,"[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@5')]","[('live_body_ref', 'dse~DataUSAConstructionWageSep18Live@5')]",MATCH
